Scheme_ID,Scheme_Name,Ministry,Category,Launch_Year,Target_Beneficiaries,Budget_Allocated_Crore,Budget_Utilized_Crore,States_Covered,Beneficiaries_Reached_Lakh,Status,Mode,Gender_Focus,Age_Group,Application_Mode,Success_Rate_%,Grievances_Filed,Grievances_Resolved,Scheme_Duration_Years,Annual_Report_Available,Website_Available,PM_Flagship,Nodal_Agency,Remarks
S0377,Mahatma Gandhi Watershed Development Samman Nidhi,Ministry of Electronics,Housing,1971,All Citizens,322923,295274,All States,6234.25,Under Review,Cash Incentive,All,30+,N/A,59,499508,327587,1987,Yes,Yes,Yes,AAI,
S0378,Atal Island Development Awaas Yojana,Ministry of Commerce,Entrepreneurship,2020,SC/ST,303601,227891,All States,643.5,Active,Direct Benefit Transfer,Children,15-45,N/A,97.7,459100,340055,2023,Yes,Yes,No,HUDCO,
S0379,Scheme for Fluorosis Control Suraksha Yojana,Ministry of Science and Technology,Infrastructure,1981,Students,365941,260308,All States,5892,Completed,Policy,Children,Jun-14,Offline,61.8,437539,394366,9,Yes,No,No,REC,Pilot phase
S0380,State Urban Housing Karyakram,Ministry of Tourism,Women Empowerment,1960,Children,30272,30285,All States,235.99,Closed,Direct Benefit Transfer,All,21-45,Online/Offline,50.1,263405,229060,2,Yes,Yes,No,DoSJE,Discontinued after 2020
S0381,Digital Cold Chain Yojana,Ministry of Skill Development,Entrepreneurship,1977,Students,57535,18691,15,5014.69,Active,Wage Employment,Women/Children,14-18,Offline,47.6,324358,204292,2,Yes,No,Yes,India Post,State-level implementation
S0382,State Port Development Karyakram,Ministry of Science and Technology,Tribal Development,1986,Urban Poor,137916,45927,9,8539.43,Closed,Training,Children,21-55,Multiple,94.1,397,264,Ongoing,No,Yes,No,FCI,Missing beneficiary data
S0383,Gram Maternal Health Yojana,Ministry of Panchayati Raj,Disaster Relief,1967,Migrant Workers,118014,84265,All States,10499.01,Active,Reimbursement,All,18-40,Offline,79.5,166124,102485,13,Yes,No,No,NSIC,Self-funded contributory
S0384,State Solar Energy Suraksha Yojana,Ministry of Health,Manufacturing,1970,Senior Citizens,218122,117038,All States,14084.11,Active,Infrastructure,SC/ST,All Ages,Online/Offline,95.2,339585,263460,Ongoing,No,Yes,No,India Post,Pilot phase
S0385,Bharat Elderly Care Vikas Yojana,Ministry of Petroleum,Governance,2002,Rural Poor,95592,84659,All States,1867.13,Completed,Free Service,Children,21-30,N/A,43.1,362943,351955,12,No,Yes,No,NSIC,Missing beneficiary data
S0386,Samagra Maternal Health Pani Yojana,Ministry of Petroleum,Environment,2022,Pregnant Women,65105,39363,All States,557.08,Closed,Wage Employment,SC/ST,18+,Multiple,60.6,182701,171907,1,Yes,No,No,State Govts,Scheme under review
S0387,Mukhyamantri Airport Sinchai Yojana,Ministry of Defence,Manufacturing,1961,Unorganised Workers,124168,49125,All States,13181.19,Under Review,Subsidy,SC/OBC,21-45,Online,30.2,141538,91045,2030,Yes,Yes,No,MoHFW,COVID-19 relief component
S0388,Rashtriya Irrigation Vikas Yojana,Ministry of Tribal Affairs,Governance,1987,BPL Families,407439,,All States,2275.63,Closed,Awareness,Women,0-18,N/A,77.5,457646,316220,2007,Yes,No,No,MoTA,
S0389,Swachh e-Governance Kalyan Yojana,Ministry of Textiles,Marine Development,1979,Rural Poor,267068,,8,10876.11,Active,Free Service,Women,30+,Multiple,52.3,357717,305515,5,Yes,Yes,No,MoTA,COVID-19 relief component
S0390,Pradhan Mantri Gems and Jewellery Suraksha Yojana,Ministry of Law and Justice,Financial Inclusion,1989,Tribal Communities,247799,91951,All States,12065.87,Active,Subsidy,All,21-55,N/A,36,108171,78946,2017,No,No,No,NPCI,
S0391,Indira Gandhi Airport Samman Nidhi,Ministry of Minority Affairs,Urban Development,1961,BPL Families,33735,34126,All States,8512.63,Active,Micro Credit,SC/OBC,18-60,Multiple,51.3,252667,235210,12,Yes,Yes,No,WCD,
S0392,Bharat Senior Citizens Shiksha Yojana,Ministry of Women and Child,Infrastructure,1999,Minorities,383267,139308,All States,8842.04,Active,Pension Scheme,Women/Children,0-18,N/A,53.4,305433,269620,2026,No,Yes,No,NRLM,State-level implementation
S0393,Integrated Soil Conservation Sadak Yojana,Ministry of Tourism,Marine Development,2012,Tribal Communities,245969,118941,All States,14914.99,Active,Pension Scheme,SC/OBC,18-45,Multiple,60.5,135319,106958,2029,Yes,Yes,No,KVIC,
S0394,National Higher Education Swasthya Yojana,Ministry of Health,Tourism,1968,Tribal Communities,,,All States,8729.02,Active,Digital Platform,Women,30+,Multiple,,295972,234127,7,No,No,No,SIDBI,No direct govt budget
S0395,National Industrial Training Mission,Ministry of Law and Justice,Tribal Development,1992,Farmers,,,All States,13948.84,Active,Fellowship,Women,21-55,Offline,59.8,242349,184675,Ongoing,No,No,Yes,DAHD,Discontinued after 2020
S0396,Pradhan Mantri Iodine Deficiency Karyakram,Ministry of Development of NE,Child Protection,2023,Small Entrepreneurs,461177,254026,All States,1603.74,Closed,Policy,SC/ST,21-45,N/A,,469512,429419,11,Yes,Yes,No,DoSJE,
S0397,Deendayal DBT Implementation Sadak Yojana,Ministry of Rural Development,Nutrition,1954,Pregnant Women,485150,310690,9,4713.01,Active,Grant,Women/Children,18-60,Online,94.9,243503,,3,Yes,Yes,No,NHM,Budget revised upward
S0398,PM Iodine Deficiency Kalyan Yojana,Ministry of Heavy Industries,Transport,1956,Minorities,,,All States,,Under Review,Policy,All,21-45,Offline,71.6,300640,256204,12,Yes,No,No,State Govts,
S0399,Mission Railway Connectivity Yojana,Ministry of Education,Digital Infrastructure,2008,BPL Families,152808,58544,All States,11514.11,Active,Pension Scheme,SC/OBC,18-70,Online/Offline,91.1,70097,61334,4,Yes,No,No,DPIIT,Budget revised upward
S0400,Swachh Dengue Prevention Shiksha Yojana,Ministry of Tourism,Infrastructure,1992,BPL Families,234433,,All States,8771.56,Active,Tax Benefits,All,14-18,Multiple,56.9,401483,256323,14,No,Yes,Yes,NeSL,
S0401,Gram Coastal Development Abhiyan,Ministry of Development of NE,Nutrition,1997,Senior Citizens,229526,188883,All States,1209.26,Active,Loan Guarantee,Children,18-60,N/A,33.9,5054,3200,6,Yes,Yes,No,MoTA,Data partially available
S0402,Samagra Higher Education Vikas Yojana,Ministry of Tourism,Agriculture,1959,OBC,,,All States,10306.56,Completed,Grant,SC/ST,60+,Online,75.2,250348,182225,1961,Yes,No,No,India Post,Pilot phase
S0403,Indira Gandhi Road Construction Yojana,Ministry of Health,Transport,2007,Fishers,422290,389722,All States,,Active,Loan Guarantee,SC/OBC,18-60,Offline,92.9,215062,133583,Ongoing,Yes,Yes,No,DPIIT,Self-funded contributory
S0404,Swachh Primary Education Abhiyan,Ministry of Chemicals,Housing,2007,Minorities,454097,,All States,7854,Under Review,Infrastructure,Women/Children,18-60,N/A,59.3,381726,328684,Ongoing,No,Yes,Yes,India Post,Loan guarantee scheme
S0405,Central Climate Change Kaushal,Ministry of MSME,Environment,1984,SC/ST,28261,28547,All States,9408.21,Completed,Awareness,SC/OBC,21-30,Online,34.9,128957,92220,Ongoing,Yes,Yes,Yes,QCI,
S0406,Mahatma Gandhi Prison Reforms Programme,Ministry of AYUSH,Financial Inclusion,1974,Migrant Workers,360294,189164,All States,5976.03,Active,Subsidy,Women,16-59,N/A,36.7,390481,290668,5,Yes,Yes,No,NHAI,Subsumed into larger mission
S0407,Mukhyamantri Coastal Development Bima Yojana,Ministry of New Energy,Governance,1976,Senior Citizens,351343,,All States,1515.05,Active,Direct Benefit Transfer,SC/ST,18-60,N/A,89.6,152206,132868,Ongoing,Yes,Yes,No,QCI,
S0408,National Port Development Mission,Ministry of Textiles,Infrastructure,1963,SC/ST,2993,2662,All States,13349.35,Active,Scholarship,Women/Children,18-70,Online,79.1,362798,349307,9,Yes,Yes,No,Gram Panchayats,Extended beyond original timeline
S0409,Dr. Ambedkar Textile Development Suraksha Yojana,Department of Personnel,Environment,1979,OBC,192826,134100,All States,9118.57,Active,Reimbursement,SC/OBC,18-70,N/A,52.4,103449,,1997,No,Yes,Yes,DRDA,Missing beneficiary data
S0410,Samagra Heritage Conservation Suraksha Yojana,Ministry of Science and Technology,Employment,1985,Farmers,210540,154117,All States,13498.09,Under Review,Direct Benefit Transfer,Women,Jun-14,N/A,68.8,487753,312356,1,Yes,Yes,No,CGWB,Self-funded contributory
S0411,Jan Cultural Promotion Shiksha Yojana,Ministry of Ports,Food Security,2012,Women,460938,442268,All States,11850.09,Closed,Savings Scheme,SC/ST,16-59,Online,50.9,307824,265953,2028,Yes,Yes,No,FCI,Extended beyond original timeline
S0412,Jan Cancer Care Sinchai Yojana,Ministry of Law and Justice,Energy,1954,Rural Poor,185217,,All States,11314.91,Under Review,Training,Women/Children,21-30,Offline,42.8,181689,113718,9,Yes,Yes,No,NRLM,Merged with another scheme
S0413,Gram Higher Education Jan Vikas,Ministry of Power,Livelihood,2003,Fishers,331479,202624,All States,7380.4,Active,Infrastructure,SC/OBC,21-45,Offline,64.9,416035,343105,2005,Yes,Yes,Yes,Gram Panchayats,Loan guarantee scheme
S0414,Rashtriya Agricultural Market Bima Yojana,NITI Aayog,Health,1964,Unorganised Workers,274537,146780,All States,10618.81,Active,Policy,Women/Children,18-40,Online/Offline,69.1,96444,61658,15,Yes,Yes,No,SIDBI,New phase announced
S0415,Digital Juvenile Justice Pani Yojana,Ministry of Food Processing,Water,1992,Fishers,261383,193503,All States,11228.43,Active,Pension Scheme,All,16-59,Multiple,65.4,18125,15372,2011,Yes,Yes,No,NRLM,Pilot phase
S0416,Deendayal Textile Development Awaas Yojana,Ministry of Education,Urban Development,2017,Small Entrepreneurs,447908,342801,All States,11293.82,Completed,Price Support,SC/OBC,21-30,Multiple,83.8,256420,166011,2027,Yes,No,No,MoTA,Missing beneficiary data
S0417,Pradhan Mantri e-Governance Sadak Yojana,Ministry of Fisheries,Livelihood,1976,Fishers,90885,30379,All States,,Active,Price Support,Children,18-60,Online/Offline,69.4,239225,170720,Ongoing,Yes,Yes,No,SFAC,No direct govt budget
S0418,Samagra Post Harvest Initiative,Ministry of Culture,Health,2004,BPL Families,416093,225731,All States,13680.49,Active,In-Kind,Women/Children,16-59,N/A,78.7,75642,62620,Ongoing,Yes,No,No,NeSL,Pilot phase
S0419,Mission Senior Citizens Scheme,Ministry of Petroleum,Tribal Development,1988,Women,1816,561,All States,12111.82,Under Review,In-Kind,Women,22-35,N/A,60.9,315310,220050,9,Yes,Yes,No,NIC,
S0420,Indira Gandhi Dairy Development Initiative,Ministry of New Energy,Manufacturing,2009,Rural Poor,323683,164657,All States,207.62,Under Review,In-Kind,Children,14-18,Offline,67.3,221946,220149,2020,Yes,No,No,NeSL,Loan guarantee scheme
S0421,Rajiv Gandhi Post Harvest Nidhi,Ministry of Food,Border Development,2006,Minorities,468489,392010,All States,,Active,Policy,SC/OBC,0-6,Offline,56.9,335093,249692,2014,No,No,Yes,NDDB,State-level implementation
S0422,Mission Blindness Vikas Yojana,Ministry of Rural Development,Agriculture,2012,Students,359522,288056,All States,12179.95,Under Review,Reimbursement,Children,21-45,Multiple,43.7,344747,330162,2014,No,Yes,No,NPCI,Pilot phase
S0423,Jan Cooperative Nidhi,Ministry of Chemicals,Sports,2004,Pregnant Women,241213,,All States,6467.23,Closed,Reimbursement,Women/Children,21-55,Offline,76.9,387741,321699,8,Yes,Yes,No,DPIIT,Pilot phase
S0424,Pradhan Mantri Skill Upgradation Sadak Yojana,Ministry of Panchayati Raj,Education,1994,Farmers,295190,273857,All States,,Under Review,Cash Incentive,SC/OBC,16-59,Multiple,53.1,23088,22635,12,Yes,Yes,Yes,UIDAI,Pilot phase
S0425,State Textile Development Bima Yojana,Ministry of Housing,Digital Infrastructure,1977,Migrant Workers,175456,138812,All States,5613.93,Under Review,Policy,Children,18-70,Online/Offline,87,467348,462404,1980,Yes,Yes,No,DRDA,New phase announced
S0426,Indira Gandhi Olympic Training Suraksha Yojana,Ministry of Finance,Energy,2001,Children,207492,82913,All States,6220.85,Completed,Scholarship,Women/Children,Jun-14,Offline,48,158716,144104,2011,Yes,Yes,No,DoSJE,Self-funded contributory
S0427,Indira Gandhi Animal Husbandry Nidhi,Ministry of Home Affairs,Child Development,2000,Students,494320,221853,All States,9478.25,Completed,Scholarship,Women/Children,22-35,Online/Offline,85.2,15127,,2,No,Yes,No,NHA,
S0428,Rajiv Gandhi Leather Industry Bima Yojana,Ministry of AYUSH,Disaster Relief,2017,Persons with Disability,480293,248266,20,8455.6,Active,Legal Framework,Children,22-35,Offline,75.9,153062,130061,2026,Yes,Yes,No,AAI,Discontinued after 2020
S0429,Mukhyamantri Textile Development Abhiyan,Ministry of Electronics,Child Protection,2004,Persons with Disability,459679,170396,All States,455.02,Closed,Price Support,Women,18-70,N/A,60.2,454027,312430,2009,No,Yes,No,EPFO,Subsumed into larger mission
S0430,State Digital Literacy Swasthya Yojana,Ministry of Rural Development,Scholarships,1969,Pregnant Women,69898,60321,All States,12329.21,Active,Tax Benefits,Children,0-18,Offline,40.9,216872,140218,7,Yes,Yes,Yes,SFAC,COVID-19 relief component
S0431,PM Pesticide Management Mission,Ministry of Defence,Insurance,2014,Senior Citizens,241740,192585,All States,,Closed,Infrastructure,SC/OBC,22-35,Multiple,37.6,191341,148060,2029,No,Yes,Yes,NSIC,Discontinued after 2020
S0432,Integrated Food Processing Sinchai Yojana,Ministry of Mines,Pension,1960,Women,410515,259994,All States,12045.3,Completed,Policy,All,14-18,Online,96.4,168387,158270,9,Yes,Yes,No,FCI,Extended beyond original timeline
S0433,Integrated Afforestation Pani Yojana,Ministry of Women and Child,Social Security,2002,Pregnant Women,481375,372628,All States,,Under Review,Awareness,SC/OBC,18-70,Online/Offline,48.1,211145,154078,2009,Yes,Yes,No,MeitY,Self-funded contributory
S0434,Scheme for Sanitation Suraksha Yojana,Ministry of Science and Technology,Governance,2015,Fishers,,,All States,6999.37,Active,Infrastructure,All,30+,Online,50.2,246788,170926,Ongoing,Yes,No,Yes,NHA,State-level implementation
S0435,Integrated Women Safety Suraksha Yojana,NITI Aayog,Insurance,1993,Tribal Communities,301331,246285,All States,,Completed,Pension Scheme,Children,16-59,Online,74.6,190579,171513,Ongoing,Yes,Yes,No,NABARD,
S0436,Mukhyamantri Micro Finance Yojana,Ministry of MSME,Skill Development,1952,Students,86709,82323,All States,,Active,Fellowship,Women,60+,N/A,49.6,238142,172944,2022,No,Yes,No,SIDBI,Budget revised upward
S0437,State Self Help Groups Pani Yojana,Ministry of Food Processing,Border Development,1958,Tribal Communities,313800,214728,All States,8617.58,Active,Direct Benefit Transfer,Women,18-70,N/A,87,34909,34038,2022,Yes,Yes,No,KVIC,Loan guarantee scheme
S0438,Gram Disaster Management Pani Yojana,Ministry of Heavy Industries,Urban Development,1961,All Citizens,17545,7130,All States,14749.25,Active,Infrastructure,SC/OBC,All Ages,N/A,37.9,380108,360311,5,Yes,No,Yes,DAC,
S0439,Bharat Airport Scheme,Ministry of Civil Aviation,Employment,1972,Youth,322527,237306,All States,7551.68,Active,Tax Benefits,SC/ST,16-59,N/A,48.3,414520,282867,12,Yes,No,No,NeSL,
S0440,Bharat Solar Energy Pani Yojana,Ministry of Textiles,Housing,1995,All Citizens,5318,,All States,10206.5,Closed,Tax Benefits,SC/ST,21-35,Online/Offline,60.5,308523,250692,7,No,Yes,No,NPCI,Pilot phase
S0441,Integrated Orphan Welfare Sadak Yojana,Ministry of Chemicals,Infrastructure,2009,Pregnant Women,105860,84138,28,438.34,Completed,Digital Platform,Women/Children,15-45,Online/Offline,96.6,351688,230110,2,Yes,Yes,Yes,UIDAI,Extended beyond original timeline
S0442,Scheme for Nutrition Programme Vikas Yojana,Ministry of Power,Housing,2003,Tribal Communities,44016,35342,All States,8200.53,Active,Fellowship,Women,21-30,Offline,,350686,253437,5,Yes,Yes,No,KVIC,New phase announced
S0443,State Vocational Training Initiative,Ministry of Petroleum,Water,2015,Unorganised Workers,149911,85576,All States,7437.04,Active,Cash Incentive,All,Jun-18,Online/Offline,,207556,176023,2021,No,Yes,No,EPFO,Discontinued after 2020
S0444,Mission Export Promotion Samman Nidhi,Ministry of Rural Development,Marine Development,1974,Fishers,,,All States,,Active,Subsidy,Children,30+,Offline,48.5,214218,,Ongoing,Yes,Yes,No,PFC,
S0445,Bharat Post Harvest Kalyan Yojana,Ministry of Women and Child,Insurance,1983,Students,183946,66954,All States,5415.12,Active,Cash Incentive,SC/ST,0-6,Online,74,435346,389451,2009,No,Yes,No,LIC,Subsumed into larger mission
S0446,Mukhyamantri Watershed Development Mission,Ministry of Environment,Child Protection,1980,Tribal Communities,110694,77708,All States,,Completed,Training,SC/ST,21-55,Online,31.5,198903,175411,9,Yes,Yes,No,Banks,No direct govt budget
S0447,Atal Heritage Conservation Shiksha Yojana,Ministry of Education,Environment,1988,OBC,176628,97527,All States,12021.3,Active,Free Service,SC/ST,15-35,Offline,97.9,345095,341028,1992,Yes,Yes,No,DAHD,Data partially available
S0448,Jan Cooperative Programme,Ministry of Chemicals,Energy,2009,Rural Poor,456125,351375,All States,10301.4,Active,Multiple,All,14-18,N/A,42,18517,16180,2015,Yes,Yes,No,SFAC,
S0449,Mission River Cleaning Shakti,Ministry of Tourism,Sanitation,2011,All Citizens,412433,315299,All States,,Completed,Insurance,Women,60+,Online,72.5,313685,238677,Ongoing,Yes,Yes,No,LIC,Budget revised upward
S0450,Mukhyamantri Tourism Development Kalyan Yojana,Ministry of Panchayati Raj,Employment,1953,Pregnant Women,411327,396222,All States,12966.95,Active,Loan Guarantee,Women/Children,21-35,Online/Offline,67.8,234381,141090,Ongoing,Yes,No,Yes,DFPD,No direct govt budget
S0451,Gram Irrigation Rozgar Yojana,Ministry of Steel,Housing,2008,Women,206032,215872,29,5945.37,Active,Micro Credit,All,21-55,Multiple,78,261211,193499,7,Yes,Yes,No,NSIC,Self-funded contributory
S0452,Scheme for Fisheries Development Programme,Ministry of Railways,Digital Infrastructure,1967,Rural Poor,125035,,26,,Active,Scholarship,All,22-35,Online,80.2,435243,333110,1977,Yes,Yes,No,SFAC,Budget revised upward
S0453,Dr. Ambedkar Seed Development Karyakram,Ministry of Science and Technology,Regional Development,1987,Migrant Workers,194636,155591,All States,7333.71,Active,Free Service,All,16-59,Online,41.1,409775,255633,2014,Yes,Yes,No,MoHUA,State-level implementation
S0454,Integrated Watershed Development Awaas Yojana,Ministry of Chemicals,Tribal Development,1962,Migrant Workers,284676,153959,24,10785.24,Active,Price Support,Women/Children,Jun-14,Offline,62.4,353690,254616,10,Yes,Yes,No,LIC,Pilot phase
S0455,Rashtriya Industrial Training Awaas Yojana,Ministry of New Energy,Urban Development,1998,Tribal Communities,391622,128113,All States,2945.22,Active,Pension Scheme,Women,15-45,Multiple,30.6,339431,226370,Ongoing,Yes,No,No,NRLM,
S0456,Atal Farmer Income Jan Vikas,Ministry of Minority Affairs,Water,2024,All Citizens,405787,373923,All States,,Active,Multiple,Children,16-59,Online/Offline,71.6,115673,98909,2030,Yes,No,No,NIC,Discontinued after 2020
S0457,Integrated Rural Housing Initiative,Ministry of Food Processing,Tourism,2023,Tribal Communities,336885,193625,All States,7507.52,Active,Insurance,SC/OBC,16-59,Online/Offline,83.8,111923,110312,Ongoing,Yes,No,Yes,India Post,Discontinued after 2020
S0458,Jan Gems and Jewellery Scheme,Ministry of Finance,Marine Development,1971,Senior Citizens,36644,33356,All States,3252.77,Active,Wage Employment,All,22-35,Multiple,41.8,23955,15544,1983,Yes,Yes,No,CGTMSE,Subsumed into larger mission
S0459,Indira Gandhi Air Pollution Nidhi,Ministry of Tourism,Border Development,1969,Rural Poor,455829,285491,All States,9258.55,Active,Cash Incentive,Women,Jun-14,N/A,41,72889,44504,Ongoing,No,Yes,Yes,LIC,Merged with another scheme
S0460,Mission Island Development Samman Nidhi,Ministry of Environment,Credit,1986,Students,475072,324741,All States,1832.86,Under Review,Tax Benefits,Women,60+,Offline,,386918,242710,7,Yes,Yes,No,CGTMSE,Discontinued after 2020
S0461,Rajiv Gandhi Deafness Jan Vikas,Ministry of Fisheries,Governance,1990,Rural Poor,150206,57059,All States,11752.15,Active,Cash Incentive,Women,Jun-14,Multiple,58.9,209736,153629,Ongoing,Yes,No,Yes,EPFO,
S0462,Dr. Ambedkar Fisheries Development Kalyan Yojana,Ministry of Petroleum,Skill Development,2004,Small Entrepreneurs,314975,267668,All States,14958.62,Active,Reimbursement,SC/ST,All Ages,Online/Offline,30.7,317256,271572,6,Yes,Yes,Yes,MeitY,Budget revised upward
S0463,Central Pesticide Management Jan Vikas,Ministry of Finance,Education,1986,Minorities,38762,12363,30,11392.1,Active,Loan Guarantee,Children,15-35,N/A,32.8,179633,175420,1998,No,No,No,MoE,State-level implementation
S0464,Central Tribal Welfare Samman Nidhi,Ministry of Health,Credit,1980,SC/ST,86698,41919,10,13588.02,Completed,Price Support,All,Jun-14,Multiple,45.8,177123,162685,2006,Yes,Yes,No,NFDB,Merged with another scheme
S0465,Mahatma Gandhi SC/ST Welfare Scheme,Ministry of Tourism,Nutrition,2015,Youth,202938,,All States,8571.73,Active,Price Support,Women/Children,Jun-14,Offline,68.8,167001,121173,2019,Yes,No,No,NMCG,Extended beyond original timeline
S0466,Samagra Malaria Control Yojana,Ministry of Sports,Employment,1968,Students,417158,256285,All States,11679.65,Active,Savings Scheme,SC/ST,All Ages,Multiple,94.6,80678,80493,15,No,No,No,NDDB,
S0467,Integrated Flood Relief Sinchai Yojana,Ministry of Home Affairs,Urban Livelihood,1962,Urban Poor,378456,325893,All States,14578.74,Active,Free Service,Children,14-18,Multiple,82.4,286930,173221,Ongoing,Yes,Yes,No,CGTMSE,Subsumed into larger mission
S0468,Mukhyamantri Border Security Kaushal,Ministry of Steel,Financial Inclusion,1952,OBC,78691,36935,All States,,Closed,In-Kind,Women/Children,14-18,Online/Offline,75.7,14848,10012,13,No,No,Yes,SIDBI,Budget revised upward
S0469,Integrated Border Security Sadak Yojana,Ministry of Road Transport,Skill Development,1977,BPL Families,232451,205093,8,13220.2,Under Review,Infrastructure,Children,18-70,Offline,52.8,215286,194711,Ongoing,No,Yes,Yes,NITI Aayog,Pilot phase
S0470,Indira Gandhi Prison Reforms Karyakram,Ministry of Rural Development,Regional Development,2015,Small Entrepreneurs,89820,50479,All States,9885.18,Active,Wage Employment,All,30+,Online,86.3,422361,421074,13,Yes,Yes,No,MoHUA,Pilot phase
S0471,Bharat Agricultural Market Karyakram,Ministry of Culture,Agriculture,2023,Children,476298,178376,All States,6484.16,Active,Policy,Women/Children,Jun-18,Online,50.9,366765,263183,2026,No,Yes,No,DAC,New phase announced
S0472,National e-Governance Abhiyan,Ministry of Science and Technology,Child Protection,1971,Farmers,322186,332808,All States,,Active,Subsidy,Women/Children,18-45,Online/Offline,38.1,446398,276033,3,Yes,Yes,No,CGTMSE,State-level implementation
S0473,Pradhan Mantri Malaria Control Scheme,Ministry of Environment,Water,1984,Artisans,295905,187897,All States,10511.63,Under Review,Insurance,SC/ST,0-6,Online/Offline,97.7,312336,206660,13,No,Yes,No,DAC,Missing beneficiary data
S0474,Scheme for Blindness Jan Vikas,Ministry of Women and Child,Food Security,1989,Children,453323,401979,All States,,Under Review,Digital Platform,All,Jun-14,N/A,83.8,283290,170867,Ongoing,Yes,Yes,No,State Govts,Discontinued after 2020
S0475,Rajiv Gandhi Leather Industry Shakti,Ministry of Chemicals,Innovation,2015,Women,98391,72569,All States,11486.86,Under Review,Awareness,Children,22-35,Online,68.8,331273,313402,Ongoing,Yes,Yes,Yes,NSDC,
S0476,Scheme for Dengue Prevention Abhiyan,Ministry of Finance,Child Protection,1968,BPL Families,175058,75820,All States,10763.37,Active,Training,SC/ST,18-60,N/A,65.1,482668,358151,Ongoing,No,Yes,No,LIC,COVID-19 relief component
S0477,National Metro Rail Kaushal,Ministry of Finance,Child Protection,2022,Farmers,,,All States,4517.89,Completed,Cash Incentive,All,18-70,Multiple,30.2,452940,376517,Ongoing,Yes,Yes,No,DPIIT,Scheme under review
S0478,Rashtriya Sericulture Kaushal,Ministry of Civil Aviation,Insurance,1954,Tribal Communities,200033,191554,All States,8758.18,Active,Fellowship,Women/Children,21-45,Online,92.9,129314,83098,8,No,Yes,Yes,DRDA,Loan guarantee scheme
S0479,PM Tourism Development Swasthya Yojana,Ministry of Electronics,Rural Development,1991,Unorganised Workers,298900,131894,All States,12033.67,Active,Grant,SC/OBC,18-45,Multiple,44.3,242683,162444,11,Yes,Yes,No,DPIIT,Loan guarantee scheme
S0480,Scheme for Women Safety Programme,Ministry of Panchayati Raj,Livelihood,1995,All Citizens,79647,68824,32,5498.62,Active,Loan Guarantee,Children,16-59,Multiple,39.6,453550,282209,2004,No,Yes,Yes,HUDCO,Subsumed into larger mission
S0481,Mukhyamantri Watershed Development Scheme,Ministry of Ports,Health,2016,Migrant Workers,456530,399908,All States,3717.49,Active,Infrastructure,All,0-18,Offline,65.4,82335,56831,2025,Yes,Yes,No,FCI,Discontinued after 2020
S0482,Mukhyamantri Food Processing Nidhi,Ministry of AYUSH,Energy,2001,Minorities,,,10,1229.35,Under Review,Insurance,Women,21-45,Offline,38.7,101067,,2020,No,Yes,No,PFRDA,COVID-19 relief component
S0483,Swachh Inland Waterways Initiative,Ministry of Chemicals,Marine Development,2018,BPL Families,,,All States,,Completed,Training,All,21-30,Online/Offline,52,61849,48413,3,No,Yes,No,NSIC,Missing beneficiary data
S0484,Bharat Food Processing Shakti,Ministry of Jal Shakti,Education,1962,Children,143781,85175,All States,7750.55,Under Review,Reimbursement,Women/Children,21-30,Offline,91.4,432053,343962,13,Yes,Yes,Yes,DPIIT,
S0485,Mahatma Gandhi Vocational Training Sadak Yojana,Ministry of Defence,Entrepreneurship,1998,Persons with Disability,331711,323430,All States,4892.75,Active,Micro Credit,Women,15-35,N/A,56.5,392337,331998,1,Yes,Yes,No,NRLM,Data partially available
S0486,Integrated Leprosy Elimination Kaushal,Ministry of Rural Development,Urban Development,1986,Migrant Workers,195324,119786,All States,1267.79,Active,Digital Platform,SC/OBC,18+,Online/Offline,58,482772,418537,15,Yes,No,No,India Post,Budget revised upward
S0487,Mukhyamantri Watershed Development Rozgar Yojana,Ministry of Commerce,Transport,1981,Minorities,288631,128667,All States,9490.23,Active,Multiple,SC/ST,30+,Offline,47.4,295430,179550,2030,Yes,Yes,Yes,NMCG,Loan guarantee scheme
S0488,State Child Nutrition Programme,Ministry of Housing,Child Protection,1994,OBC,247704,111886,All States,,Active,Legal Framework,Women/Children,18-40,Multiple,30.2,253225,250113,2027,Yes,No,No,NRLM,
S0489,Integrated Minority Welfare Vikas Yojana,Ministry of Power,Insurance,1961,Farmers,248190,171379,All States,14543.62,Active,Tax Benefits,Women/Children,18-70,N/A,31.5,99222,94134,11,Yes,No,No,UIDAI,Extended beyond original timeline
S0490,Pradhan Mantri Solar Energy Nidhi,Ministry of Road Transport,Sanitation,1993,SC/ST,11512,5604,All States,5518.2,Active,Tax Benefits,All,16-59,Multiple,57.4,30525,24370,6,No,Yes,No,REC,Budget revised upward
S0491,Mukhyamantri Olympic Training Vikas Yojana,Ministry of Law and Justice,Urban Development,2020,Artisans,,,28,2268.55,Closed,Wage Employment,All,21-45,N/A,75.7,236038,225914,2022,Yes,Yes,No,NHAI,New phase announced
S0492,Mukhyamantri Fisheries Development Samman Nidhi,Ministry of Railways,Insurance,1983,OBC,374107,,All States,13203.4,Completed,Loan Guarantee,Women/Children,21-55,Multiple,55.4,253936,197965,14,Yes,Yes,No,QCI,Data partially available
S0493,Central Fisheries Development Shakti,Ministry of Environment,Border Development,1953,Women,434364,202657,All States,13716.74,Completed,Grant,All,Jun-14,Online/Offline,92,468862,372093,1985,Yes,Yes,No,KVIC,
